112,GA,lit,Fri Jul 13 18:35:06 +0000 2018
113,IN,lit,Fri Jul 13 18:35:07 +0000 2018
114,FL,lit,Fri Jul 13 18:35:19 +0000 2018
115,GA,lit,Fri Jul 13 18:35:26 +0000 2018
116,NY,lit,Fri Jul 13 18:35:28 +0000 2018
117,MI,lit,Fri Jul 13 18:35:29 +0000 2018
118,CA,lit,Fri Jul 13 18:35:33 +0000 2018
119,CA,lit,Fri Jul 13 18:35:37 +0000 2018
120,CA,lit,Fri Jul 13 18:35:38 +0000 2018
121,IN,lit,Fri Jul 13 18:35:40 +0000 2018
122,TN,adulting,Fri Jul 13 18:35:40 +0000 2018
123,NC,lit,Fri Jul 13 18:35:43 +0000 2018
124,FL,lit,Fri Jul 13 18:35:55 +0000 2018
125,SC,lit,Fri Jul 13 18:35:58 +0000 2018
126,CA,lit,Fri Jul 13 18:36:34 +0000 2018
127,TX,lit,Fri Jul 13 18:36:40 +0000 2018
128,AR,lit,Fri Jul 13 18:36:43 +0000 2018
129,NY,lit,Fri Jul 13 18:36:50 +0000 2018
130,FL,lit,Fri Jul 13 18:36:53 +0000 2018
131,AZ,lit,Fri Jul 13 18:36:53 +0000 2018
132,CA,lit,Fri Jul 13 18:36:53 +0000 2018
133,TX,lit,Fri Jul 13 18:36:53 +0000 2018
134,TN,ratchet,Fri Jul 13 18:36:57 +0000 2018
135,NV,adulting,Fri Jul 13 18:37:05 +0000 2018
136,TX,lit,Fri Jul 13 18:37:06 +0000 2018
137,CA,lit,Fri Jul 13 18:37:09 +0000 2018
138,TX,lit,Fri Jul 13 18:37:18 +0000 2018
139,WI,lit,Fri Jul 13 18:37:20 +0000 2018
140,CA,ratchet,Fri Jul 13 18:37:23 +0000 2018
141,AL,lit,Fri Jul 13 18:37:25 +0000 2018
142,UT,adulting,Fri Jul 13 18:37:27 +0000 2018
143,NV,lit,Fri Jul 13 18:37:28 +0000 2018
144,LA,lit,Fri Jul 13 18:37:29 +0000 2018
